Date,Time,Type,Account,Amount,Currency
2026-01-06,5:19 AM,Withdrawal,Xverse Wallet,-0.0000213 BTC,
2026-01-05,7:03 AM,Withdrawal,Xverse Wallet,-0.00023608 BTC,
2026-01-05,7:03 AM,Deposit,Xverse Wallet,0.00001092 BTC,
2025-12-01,6:09 AM,Withdrawal,Xverse Wallet,-0.00008571,BTC
2025-12-01,6:09 AM,Deposit,Xverse Wallet,0.00000546,BTC
2025-12-01,9:19 PM,Withdrawal,Xverse Wallet,-0.00001171 BTC,
2025-12-01,6:09 AM,Withdrawal,Xverse Wallet,-0.00008571 BTC,
2025-12-01,6:09 AM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-11-28,3:25 AM,Deposit,Xverse Wallet,0.00052,BTC
2025-11-28,3:25 AM,Deposit,Xverse Wallet,0.00052 BTC,
2025-11-19,2:05 AM,Withdrawal,Xverse Wallet,-0.00001082,BTC
2025-11-19,2:05 AM,Withdrawal,Xverse Wallet,-0.00001082 BTC,
2025-11-18,10:49 PM,Withdrawal,Xverse Wallet,-0.0001206,BTC
2025-11-18,10:49 PM,Deposit,Xverse Wallet,0.00000546,BTC
2025-11-18,10:49 PM,Withdrawal,Xverse Wallet,-0.0001206 BTC,
2025-11-18,10:49 PM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-11-16,3:46 AM,Deposit,Xverse Wallet,0.0003,BTC
2025-11-16,3:46 AM,Deposit,Xverse Wallet,0.0003 BTC,
2025-11-11,3:09 AM,Withdrawal,Xverse Wallet,-0.00000942,BTC
2025-11-11,3:09 AM,Withdrawal,Xverse Wallet,-0.00000942 BTC,
2025-11-08,2:02 AM,Withdrawal,Xverse Wallet,-0.00016482,BTC
2025-11-08,2:02 AM,Deposit,Xverse Wallet,0.00000546,BTC
2025-11-08,2:02 AM,Withdrawal,Xverse Wallet,-0.00016482 BTC,
2025-11-08,2:02 AM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-11-07,9:11 AM,Deposit,Xverse Wallet,0.0000033,BTC
